Field,ID,Type (Type),default,fr-fr,en-us
Description,2,Texte,,"DraftEdge Desktop est le compagnon Windows de la plateforme DraftEdge, l'outil de gestion pour équipes esport League of Legends.

Il se connecte au client League of Legends installé sur votre PC, lit automatiquement l'historique des parties personnalisées et envoie vos scrims vers votre espace DraftEdge en un clic. Plus besoin d'exporter des fichiers ni de saisir les drafts à la main : les picks, bans, résultats et statistiques de chaque game sont récupérés directement.

Fonctionnalités :
• Détection automatique du client League of Legends
• Import des scrims et parties personnalisées en un clic
• Sélection des parties à importer, avec le bloc de scrim associé
• Suivi des parties déjà importées, synchronisé avec le site
• Connexion sécurisée à votre compte DraftEdge

DraftEdge Desktop nécessite un compte DraftEdge et le client League of Legends installé sur le même PC.

DraftEdge n'est pas affilié à Riot Games. League of Legends est une marque de Riot Games, Inc.","DraftEdge Desktop is the Windows companion app for DraftEdge, the management platform for League of Legends esports teams.

It connects to the League of Legends client installed on your PC, reads the custom game history automatically and pushes your scrims to your DraftEdge workspace in one click. No more file exports or manual draft entry: picks, bans, results and stats for each game are collected directly.

Features:
• Automatic League of Legends client detection
• One-click import of scrims and custom games
• Pick which games to import and the scrim block they belong to
• Track already imported games, synced with the website
• Secure sign-in with your DraftEdge account

DraftEdge Desktop requires a DraftEdge account and the League of Legends client installed on the same PC.

DraftEdge is not affiliated with Riot Games. League of Legends is a trademark of Riot Games, Inc."
ReleaseNotes,3,Texte,,Première version publiée sur le Microsoft Store.,First release on the Microsoft Store.
Title,4,Texte,,DraftEdge,DraftEdge
ShortTitle,5,Texte,,,
SortTitle,6,Texte,,,
VoiceTitle,7,Texte,,,
ShortDescription,8,Texte,,"Importez vos scrims League of Legends dans DraftEdge en un clic, directement depuis le client du jeu.","Import your League of Legends scrims into DraftEdge in one click, straight from the game client."
DevStudio,9,Texte,,DraftEdge,DraftEdge
CopyrightTrademarkInformation,12,Texte,,"© 2026 DraftEdge. League of Legends est une marque de Riot Games, Inc.","© 2026 DraftEdge. League of Legends is a trademark of Riot Games, Inc."
AdditionalLicenseTerms,13,Texte,,,
DesktopScreenshot1,100,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,store-listing/images/screenshot1.png,store-listing/images/screenshot1.png
DesktopScreenshot2,101,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,store-listing/images/screenshot2.png,store-listing/images/screenshot2.png
DesktopScreenshot3,102,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot4,103,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot5,104,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot6,105,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot7,106,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot8,107,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot9,108,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot10,109,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot11,110,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot12,111,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot13,112,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot14,113,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot15,114,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot16,115,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot17,116,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot18,117,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot19,118,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot20,119,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot21,120,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot22,121,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot23,122,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot24,123,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot25,124,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot26,125,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot27,126,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot28,127,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot29,128,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
DesktopScreenshot30,129,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
